order_id,order_date,amount,product_id,customer_id,category,region,fulfilment_method,shipping_service,payment_status,return_event,return_date,refund_event,chargeback_event
ORD-0022222,2025-01-01 09:00:00,1313.54,HOM-0001,CUST-00027,Home,South,platform_fulfilled,Economy,paid,True,1736067600000000000,True,False
ORD-0012066,2025-01-01 09:00:00,2881.26,ELE-0002,CUST-01460,Electronics,West,merchant_fulfilled,Standard,paid,False,,False,False
ORD-0013126,2025-01-01 09:00:00,434.79,APP-0003,CUST-01990,Apparel,North,third_party_fulfilled,Standard,paid,False,,False,False
ORD-0009637,2025-01-01 10:00:00,1098.71,HOM-0001,CUST-01991,Home,East,platform_fulfilled,Economy,paid,True,1736071200000000000,True,False
ORD-0002807,2025-01-01 12:00:00,759.48,ELE-0056,CUST-00979,Electronics,East,platform_fulfilled,Standard,paid,False,,False,False
ORD-0003323,2025-01-01 12:00:00,1191.97,BEA-0011,CUST-01827,Beauty,North,merchant_fulfilled,Standard,paid,True,1736942400000000000,True,False
ORD-0011746,2025-01-01 13:00:00,682.79,SPO-0001,CUST-00054,Sports,South,platform_fulfilled,Standard,paid,False,,False,False
ORD-0023273,2025-01-01 13:00:00,522.6,BEA-0002,CUST-00641,Beauty,East,merchant_fulfilled,Economy,cod,False,,False,False
ORD-0014624,2025-01-01 13:00:00,367.76,BEA-0003,CUST-00338,Beauty,East,merchant_fulfilled,Standard,cod,False,,False,False
ORD-0009956,2025-01-01 13:00:00,3547.45,ELE-0001,CUST-00014,Electronics,East,merchant_fulfilled,Standard,paid,False,,False,False
ORD-0014426,2025-01-01 14:00:00,2335.03,ELE-0001,CUST-01187,Electronics,West,platform_fulfilled,Standard,paid,True,1737122400000000000,True,False
ORD-0016169,2025-01-01 15:00:00,1580.96,APP-0001,CUST-01441,Apparel,East,third_party_fulfilled,Standard,paid,False,,False,False
ORD-0005342,2025-01-01 15:00:00,399.45,APP-0001,CUST-01302,Apparel,South,third_party_fulfilled,Standard,paid,True,1736607600000000000,True,False
ORD-0011172,2025-01-01 16:00:00,331.46,BEA-0019,CUST-01604,Beauty,North,platform_fulfilled,Standard,paid,False,,False,False
ORD-0007219,2025-01-01 16:00:00,457.8,APP-0001,CUST-00223,Apparel,Central,third_party_fulfilled,Standard,paid,True,1736611200000000000,True,False
ORD-0015937,2025-01-01 16:00:00,557.94,SPO-0002,CUST-00418,Sports,South,merchant_fulfilled,Economy,paid,False,,False,False
ORD-0001102,2025-01-01 16:00:00,1207.68,ELE-0001,CUST-00527,Electronics,North,platform_fulfilled,Standard,paid,False,,False,False
ORD-0018764,2025-01-01 17:00:00,4787.61,ELE-0001,CUST-00989,Electronics,South,merchant_fulfilled,Economy,paid,False,,False,False
ORD-0019573,2025-01-01 17:00:00,1281.43,SPO-0003,CUST-00106,Sports,East,third_party_fulfilled,Standard,paid,False,,False,False
ORD-0016878,2025-01-01 17:00:00,960.71,APP-0001,CUST-00027,Apparel,West,merchant_fulfilled,Expedited,paid,True,1737478800000000000,True,False
ORD-0001460,2025-01-01 18:00:00,1670.96,ELE-0002,CUST-01862,Electronics,North,third_party_fulfilled,Economy,paid,False,,False,False
ORD-0002492,2025-01-01 18:00:00,1637.13,ELE-0001,CUST-00832,Electronics,North,platform_fulfilled,Economy,paid,False,,False,False
ORD-0018869,2025-01-01 19:00:00,917.26,APP-0001,CUST-00324,Apparel,North,platform_fulfilled,Expedited,paid,False,,False,False
ORD-0023551,2025-01-01 19:00:00,767.87,APP-0002,CUST-01934,Apparel,South,platform_fulfilled,Standard,cod,True,1736622000000000000,True,False
ORD-0015457,2025-01-01 19:00:00,364.46,BEA-0001,CUST-00462,Beauty,East,platform_fulfilled,Economy,paid,True,1736794800000000000,True,False
ORD-0015712,2025-01-01 19:00:00,2736.27,ELE-0001,CUST-01609,Electronics,North,merchant_fulfilled,Expedited,paid,True,1736967600000000000,True,False
ORD-0014914,2025-01-01 19:00:00,1134.63,ELE-0001,CUST-00047,Electronics,North,third_party_fulfilled,Economy,paid,True,1736967600000000000,True,False
ORD-0019335,2025-01-01 19:00:00,383.31,BEA-0001,CUST-01580,Beauty,East,merchant_fulfilled,Economy,paid,True,1737486000000000000,False,False
ORD-0021379,2025-01-01 19:00:00,919.04,ELE-0001,CUST-00196,Electronics,Central,third_party_fulfilled,Expedited,paid,False,,False,False
ORD-0003467,2025-01-01 20:00:00,1236.68,HOM-0001,CUST-01417,Home,South,platform_fulfilled,Expedited,cod,False,,False,False
ORD-0000753,2025-01-01 21:00:00,1019.09,APP-0006,CUST-01179,Apparel,South,merchant_fulfilled,Expedited,paid,True,1736974800000000000,True,False
ORD-0000991,2025-01-01 21:00:00,1135.19,HOM-0001,CUST-00596,Home,North,third_party_fulfilled,Standard,cod,False,,False,False
ORD-0020998,2025-01-01 21:00:00,308.09,BEA-0001,CUST-01730,Beauty,Central,merchant_fulfilled,Expedited,paid,True,1736283600000000000,True,False
ORD-0014300,2025-01-01 21:00:00,1478.84,HOM-0001,CUST-01927,Home,North,platform_fulfilled,Economy,paid,True,1736110800000000000,True,False
ORD-0001748,2025-01-01 22:00:00,240.37,HOM-0002,CUST-00852,Home,Central,third_party_fulfilled,Standard,paid,False,,False,False
ORD-0016631,2025-01-01 23:00:00,805.65,APP-0001,CUST-01524,Apparel,East,third_party_fulfilled,Expedited,paid,True,1737068400000000000,True,False
ORD-0003471,2025-01-01 23:00:00,1903.14,ELE-0001,CUST-01475,Electronics,Central,platform_fulfilled,Expedited,paid,False,,False,False
ORD-0017359,2025-01-02 00:00:00,1837.16,HOM-0007,CUST-00766,Home,North,third_party_fulfilled,Standard,paid,False,,False,False
ORD-0020018,2025-01-02 01:00:00,1111.45,ELE-0027,CUST-00381,Electronics,Central,platform_fulfilled,Expedited,paid,False,,False,False
ORD-0011103,2025-01-02 01:00:00,602.13,HOM-0012,CUST-01219,Home,North,merchant_fulfilled,Standard,paid,True,1736470800000000000,True,False
ORD-0008260,2025-01-02 02:00:00,624.62,HOM-0001,CUST-00573,Home,South,third_party_fulfilled,Standard,paid,True,1736128800000000000,False,False
ORD-0014530,2025-01-02 02:00:00,558.93,APP-0001,CUST-01279,Apparel,West,platform_fulfilled,Economy,cod,False,,False,False
ORD-0020847,2025-01-02 02:00:00,488.05,HOM-0003,CUST-01027,Home,South,platform_fulfilled,Standard,paid,False,,False,False
ORD-0021248,2025-01-02 02:00:00,6396.85,ELE-0002,CUST-01169,Electronics,West,platform_fulfilled,Standard,paid,False,,False,False
ORD-0015889,2025-01-02 02:00:00,266.39,BOO-0001,CUST-01300,Books,East,third_party_fulfilled,Standard,paid,False,,False,False
ORD-0013959,2025-01-02 03:00:00,667.3,BEA-0001,CUST-00729,Beauty,South,platform_fulfilled,Standard,cod,False,,False,False
ORD-0007401,2025-01-02 03:00:00,3077.44,HOM-0001,CUST-01656,Home,East,third_party_fulfilled,Expedited,paid,False,,False,False
ORD-0004435,2025-01-02 03:00:00,1656.8,HOM-0003,CUST-01205,Home,South,platform_fulfilled,Expedited,paid,False,,False,False
ORD-0014817,2025-01-02 03:00:00,258.66,BEA-0010,CUST-01048,Beauty,West,merchant_fulfilled,Standard,cod,True,1736391600000000000,True,False
ORD-0009734,2025-01-02 03:00:00,890.71,APP-0003,CUST-01249,Apparel,North,platform_fulfilled,Standard,paid,False,,False,False
ORD-0009955,2025-01-02 04:00:00,351.88,BEA-0006,CUST-01555,Beauty,North,platform_fulfilled,Standard,cod,True,1736740800000000000,True,False
ORD-0003076,2025-01-02 04:00:00,557.23,SPO-0001,CUST-01890,Sports,West,platform_fulfilled,Economy,paid,False,,False,False
ORD-0014382,2025-01-02 06:00:00,1828.87,ELE-0001,CUST-00216,Electronics,West,merchant_fulfilled,Standard,paid,True,1737093600000000000,True,False
ORD-0004432,2025-01-02 06:00:00,750.18,SPO-0001,CUST-00884,Sports,East,merchant_fulfilled,Standard,paid,False,,False,False
ORD-0005991,2025-01-02 06:00:00,1048.39,APP-0001,CUST-00473,Apparel,North,platform_fulfilled,Economy,paid,True,1737525600000000000,False,False
ORD-0012556,2025-01-02 07:00:00,1209.05,ELE-0001,CUST-01140,Electronics,West,platform_fulfilled,Standard,paid,False,,False,False
ORD-0010856,2025-01-02 07:00:00,264.78,APP-0009,CUST-00922,Apparel,Central,third_party_fulfilled,Standard,paid,False,,False,False
ORD-0019864,2025-01-02 07:00:00,163.27,BOO-0001,CUST-00299,Books,East,platform_fulfilled,Economy,cod,False,,False,False
ORD-0014087,2025-01-02 07:00:00,322.87,APP-0004,CUST-01252,Apparel,West,platform_fulfilled,Expedited,cod,True,1737270000000000000,True,False
ORD-0008073,2025-01-02 07:00:00,2078.04,APP-0001,CUST-01508,Apparel,North,third_party_fulfilled,Economy,paid,True,1737097200000000000,True,False
ORD-0016944,2025-01-02 07:00:00,351.41,BOO-0005,CUST-00023,Books,West,third_party_fulfilled,Economy,paid,False,,False,False
ORD-0006646,2025-01-02 08:00:00,799.08,APP-0003,CUST-00542,Apparel,North,third_party_fulfilled,Expedited,paid,True,1736582400000000000,True,False
ORD-0019009,2025-01-02 09:00:00,320.15,APP-0001,CUST-01948,Apparel,East,platform_fulfilled,Standard,paid,True,1736067600000000000,False,False
ORD-0007781,2025-01-02 09:00:00,396.87,BEA-0002,CUST-00838,Beauty,Central,third_party_fulfilled,Expedited,paid,False,,False,False
ORD-0004899,2025-01-02 10:00:00,614.38,SPO-0140,CUST-00995,Sports,Central,platform_fulfilled,Economy,paid,True,1736330400000000000,True,False
ORD-0006817,2025-01-02 10:00:00,743.21,HOM-0003,CUST-00023,Home,West,merchant_fulfilled,Standard,paid,False,,False,False
ORD-0018393,2025-01-02 10:00:00,499.92,APP-0002,CUST-01607,Apparel,Central,platform_fulfilled,Expedited,paid,False,,False,False
ORD-0003777,2025-01-02 10:00:00,265.49,BEA-0003,CUST-01415,Beauty,South,third_party_fulfilled,Standard,paid,False,,False,False
ORD-0017736,2025-01-02 10:00:00,353.19,BOO-0001,CUST-01040,Books,East,platform_fulfilled,Standard,paid,False,,False,False
ORD-0006850,2025-01-02 10:00:00,336.62,BOO-0001,CUST-00863,Books,South,merchant_fulfilled,Standard,cod,True,1736589600000000000,True,False
ORD-0010684,2025-01-02 10:00:00,1192.58,SPO-0005,CUST-01484,Sports,South,platform_fulfilled,Economy,paid,False,,False,False
ORD-0023005,2025-01-02 13:00:00,746.06,APP-0001,CUST-01933,Apparel,South,third_party_fulfilled,Economy,paid,True,1736773200000000000,True,False
ORD-0013345,2025-01-02 13:00:00,977.27,APP-0001,CUST-00988,Apparel,East,platform_fulfilled,Expedited,cod,False,,False,False
ORD-0006650,2025-01-02 13:00:00,4975.33,ELE-0002,CUST-00523,Electronics,North,platform_fulfilled,Economy,paid,False,,False,False
ORD-0005770,2025-01-02 13:00:00,300.65,BEA-0002,CUST-00447,Beauty,East,platform_fulfilled,Economy,cod,False,,False,False
ORD-0004317,2025-01-02 13:00:00,181.09,BOO-0001,CUST-01876,Books,South,platform_fulfilled,Standard,paid,True,1736514000000000000,True,False
ORD-0020833,2025-01-02 13:00:00,1227.38,APP-0004,CUST-01432,Apparel,North,merchant_fulfilled,Standard,paid,False,,False,False
ORD-0009621,2025-01-02 13:00:00,1873.43,APP-0015,CUST-00128,Apparel,East,platform_fulfilled,Standard,paid,False,,False,False
ORD-0010354,2025-01-02 13:00:00,1355.4,BEA-0001,CUST-01912,Beauty,Central,platform_fulfilled,Standard,paid,False,,False,False
ORD-0016315,2025-01-02 14:00:00,1872.61,APP-0001,CUST-01471,Apparel,East,third_party_fulfilled,Expedited,cod,False,,False,False
ORD-0000752,2025-01-02 14:00:00,2220.99,ELE-0001,CUST-01710,Electronics,East,platform_fulfilled,Standard,paid,False,,False,False
ORD-0004520,2025-01-02 15:00:00,530.0,APP-0004,CUST-01794,Apparel,Central,platform_fulfilled,Expedited,paid,True,1736175600000000000,True,False
ORD-0013895,2025-01-02 15:00:00,514.67,APP-0001,CUST-01202,Apparel,West,merchant_fulfilled,Standard,paid,True,1736866800000000000,True,False
ORD-0011139,2025-01-02 15:00:00,2887.77,ELE-0003,CUST-00953,Electronics,South,third_party_fulfilled,Economy,paid,True,1736175600000000000,True,False
ORD-0014962,2025-01-02 15:00:00,432.03,APP-0004,CUST-00108,Apparel,Central,merchant_fulfilled,Standard,paid,False,,False,False
ORD-0001456,2025-01-02 15:00:00,359.79,APP-0007,CUST-01750,Apparel,South,merchant_fulfilled,Expedited,paid,True,1737385200000000000,True,False
ORD-0022381,2025-01-02 16:00:00,2098.59,ELE-0001,CUST-01133,Electronics,West,third_party_fulfilled,Standard,paid,False,,False,False
ORD-0016044,2025-01-02 16:00:00,2532.28,APP-0001,CUST-01100,Apparel,East,platform_fulfilled,Economy,paid,False,,False,False
ORD-0011704,2025-01-02 17:00:00,4827.7,HOM-0013,CUST-00997,Home,West,platform_fulfilled,Economy,paid,True,1736787600000000000,True,False
ORD-0009030,2025-01-02 17:00:00,1381.26,APP-0002,CUST-01946,Apparel,North,third_party_fulfilled,Economy,cod,False,,False,False
ORD-0015815,2025-01-02 17:00:00,1694.48,APP-0001,CUST-01336,Apparel,East,platform_fulfilled,Economy,paid,False,,False,False
ORD-0002442,2025-01-02 18:00:00,300.61,APP-0001,CUST-00148,Apparel,Central,merchant_fulfilled,Standard,cod,True,1737396000000000000,True,False
ORD-0023364,2025-01-02 18:00:00,662.95,BOO-0001,CUST-00288,Books,North,merchant_fulfilled,Standard,paid,True,1736791200000000000,True,False
ORD-0012312,2025-01-02 19:00:00,1246.46,ELE-0001,CUST-01964,Electronics,Central,third_party_fulfilled,Economy,paid,False,,False,False
ORD-0018707,2025-01-02 19:00:00,1187.34,HOM-0003,CUST-01297,Home,North,platform_fulfilled,Standard,paid,True,1736967600000000000,False,False
ORD-0008528,2025-01-02 19:00:00,1385.59,BEA-0001,CUST-01764,Beauty,Central,platform_fulfilled,Economy,paid,True,1736276400000000000,True,False
ORD-0008641,2025-01-02 19:00:00,1354.5,APP-0001,CUST-01920,Apparel,North,platform_fulfilled,Standard,cod,False,,False,False
ORD-0007985,2025-01-02 19:00:00,1007.32,BEA-0001,CUST-01232,Beauty,South,platform_fulfilled,Standard,paid,True,1736881200000000000,True,False
ORD-0014138,2025-01-02 20:00:00,469.74,BOO-0001,CUST-00723,Books,North,third_party_fulfilled,Economy,paid,True,1737489600000000000,True,False
ORD-0009525,2025-01-02 20:00:00,244.9,APP-0002,CUST-00863,Apparel,Central,platform_fulfilled,Standard,paid,True,1736798400000000000,True,False
ORD-0005645,2025-01-02 20:00:00,370.45,HOM-0002,CUST-01017,Home,South,merchant_fulfilled,Standard,cod,True,1737316800000000000,True,False
ORD-0015079,2025-01-02 20:00:00,1194.16,HOM-0020,CUST-01768,Home,West,third_party_fulfilled,Economy,paid,False,,False,False
ORD-0018595,2025-01-02 21:00:00,2065.69,APP-0001,CUST-01686,Apparel,East,merchant_fulfilled,Standard,paid,False,,False,False
ORD-0010564,2025-01-02 21:00:00,706.0,APP-0001,CUST-01761,Apparel,West,platform_fulfilled,Economy,cod,False,,False,False
ORD-0004041,2025-01-02 21:00:00,1407.71,ELE-0007,CUST-01409,Electronics,Central,platform_fulfilled,Economy,paid,False,,False,False
ORD-0021344,2025-01-02 22:00:00,2208.08,HOM-0123,CUST-00849,Home,East,merchant_fulfilled,Standard,paid,False,,False,False
ORD-0015942,2025-01-02 22:00:00,609.1,HOM-0002,CUST-01744,Home,East,third_party_fulfilled,Economy,paid,False,,False,False
ORD-0016281,2025-01-02 22:00:00,268.65,BOO-0001,CUST-00947,Books,South,platform_fulfilled,Standard,paid,True,1737410400000000000,True,False
ORD-0014644,2025-01-02 22:00:00,244.35,BEA-0001,CUST-01639,Beauty,South,third_party_fulfilled,Standard,paid,True,1736114400000000000,True,False
ORD-0008959,2025-01-02 22:00:00,1071.81,APP-0001,CUST-01255,Apparel,South,platform_fulfilled,Standard,paid,True,1736632800000000000,True,False
ORD-0007927,2025-01-02 22:00:00,353.94,APP-0003,CUST-00223,Apparel,North,merchant_fulfilled,Standard,paid,False,,False,False
ORD-0010897,2025-01-02 22:00:00,292.2,APP-0003,CUST-00235,Apparel,North,merchant_fulfilled,Economy,cod,False,,False,False
ORD-0011967,2025-01-02 23:00:00,444.57,BEA-0001,CUST-00784,Beauty,East,merchant_fulfilled,Economy,cod,False,,False,False
ORD-0014013,2025-01-03 00:00:00,211.66,BEA-0002,CUST-01652,Beauty,East,merchant_fulfilled,Standard,paid,False,,False,False
ORD-0017136,2025-01-03 00:00:00,263.42,BOO-0001,CUST-01571,Books,East,third_party_fulfilled,Standard,paid,False,,False,False
ORD-0002138,2025-01-03 00:00:00,263.35,BEA-0003,CUST-01003,Beauty,West,platform_fulfilled,Standard,paid,False,,False,False
ORD-0009586,2025-01-03 01:00:00,1900.6,SPO-0001,CUST-00012,Sports,South,platform_fulfilled,Economy,cod,False,,False,False
ORD-0023373,2025-01-03 01:00:00,1672.31,ELE-0001,CUST-01097,Electronics,South,merchant_fulfilled,Standard,paid,True,1736384400000000000,True,False
ORD-0015473,2025-01-03 02:00:00,1451.89,HOM-0009,CUST-01798,Home,Central,third_party_fulfilled,Standard,paid,False,,False,False
ORD-0005755,2025-01-03 02:00:00,607.59,APP-0001,CUST-01943,Apparel,North,platform_fulfilled,Expedited,cod,False,,False,False
ORD-0007159,2025-01-03 02:00:00,1197.28,APP-0001,CUST-00628,Apparel,Central,platform_fulfilled,Standard,paid,False,,False,False
ORD-0006696,2025-01-03 03:00:00,1018.4,APP-0001,CUST-00169,Apparel,Central,platform_fulfilled,Economy,paid,False,,False,False
ORD-0004961,2025-01-03 03:00:00,815.3,APP-0014,CUST-01142,Apparel,South,platform_fulfilled,Standard,paid,False,,False,False
ORD-0013044,2025-01-03 04:00:00,674.26,BEA-0004,CUST-01470,Beauty,East,platform_fulfilled,Expedited,paid,False,,False,False
ORD-0008860,2025-01-03 04:00:00,663.49,APP-0002,CUST-00704,Apparel,West,third_party_fulfilled,Standard,paid,True,1737345600000000000,True,False
ORD-0006018,2025-01-03 04:00:00,675.97,SPO-0003,CUST-01291,Sports,North,platform_fulfilled,Expedited,paid,False,,False,False
ORD-0011122,2025-01-03 04:00:00,3067.71,HOM-0005,CUST-00397,Home,South,third_party_fulfilled,Standard,paid,False,,False,False
ORD-0015392,2025-01-03 04:00:00,360.0,APP-0021,CUST-01562,Apparel,South,platform_fulfilled,Standard,paid,False,,False,False
ORD-0009240,2025-01-03 06:00:00,267.37,BOO-0001,CUST-01538,Books,West,platform_fulfilled,Standard,paid,False,,False,False
ORD-0020396,2025-01-03 06:00:00,284.57,BOO-0001,CUST-01370,Books,West,platform_fulfilled,Expedited,cod,False,,False,False
ORD-0013028,2025-01-03 06:00:00,1561.28,ELE-0006,CUST-01714,Electronics,East,third_party_fulfilled,Standard,paid,False,,False,False
ORD-0022897,2025-01-03 06:00:00,2140.41,ELE-0001,CUST-01337,Electronics,West,merchant_fulfilled,Standard,cod,True,1736316000000000000,True,False
ORD-0023797,2025-01-03 07:00:00,1554.04,HOM-0001,CUST-01624,Home,Central,platform_fulfilled,Standard,paid,False,,False,False
ORD-0020986,2025-01-03 07:00:00,846.56,HOM-0002,CUST-00344,Home,East,platform_fulfilled,Expedited,paid,False,,False,False
ORD-0008709,2025-01-03 07:00:00,878.51,APP-0001,CUST-01111,Apparel,West,third_party_fulfilled,Economy,cod,False,,False,False
ORD-0001882,2025-01-03 07:00:00,641.01,HOM-0001,CUST-00287,Home,South,platform_fulfilled,Standard,paid,False,,False,False
ORD-0013863,2025-01-03 07:00:00,2243.21,ELE-0001,CUST-01920,Electronics,Central,platform_fulfilled,Standard,paid,False,,False,False
ORD-0010788,2025-01-03 08:00:00,411.43,APP-0002,CUST-00901,Apparel,West,platform_fulfilled,Expedited,paid,True,1737100800000000000,False,False
ORD-0018417,2025-01-03 08:00:00,989.59,APP-0001,CUST-01048,Apparel,West,third_party_fulfilled,Expedited,paid,True,1736928000000000000,True,False
ORD-0011145,2025-01-03 08:00:00,698.55,APP-0002,CUST-00679,Apparel,North,platform_fulfilled,Standard,paid,True,1737187200000000000,True,False
ORD-0017723,2025-01-03 08:00:00,686.28,BEA-0002,CUST-00787,Beauty,South,platform_fulfilled,Standard,paid,True,1737187200000000000,True,False
ORD-0019231,2025-01-03 08:00:00,217.44,BEA-0001,CUST-01667,Beauty,South,platform_fulfilled,Standard,paid,False,,False,False
ORD-0018899,2025-01-03 08:00:00,136.6,BOO-0012,CUST-01288,Books,North,merchant_fulfilled,Economy,cod,True,1737446400000000000,True,False
ORD-0007140,2025-01-03 09:00:00,1022.88,APP-0003,CUST-01499,Apparel,South,merchant_fulfilled,Standard,paid,True,1736931600000000000,True,False
ORD-0012670,2025-01-03 09:00:00,2103.7,SPO-0002,CUST-01939,Sports,South,platform_fulfilled,Economy,paid,False,,False,False
ORD-0010550,2025-01-03 09:00:00,1276.56,HOM-0001,CUST-00204,Home,Central,merchant_fulfilled,Standard,paid,False,,False,False
ORD-0015853,2025-01-03 09:00:00,775.67,BEA-0002,CUST-01528,Beauty,East,platform_fulfilled,Standard,paid,True,1736758800000000000,True,False
ORD-0011575,2025-01-03 10:00:00,1266.08,BEA-0001,CUST-00309,Beauty,Central,merchant_fulfilled,Standard,paid,True,1737280800000000000,True,False
ORD-0006005,2025-01-03 10:00:00,686.98,APP-0002,CUST-00972,Apparel,South,platform_fulfilled,Standard,cod,True,1736848800000000000,True,False
ORD-0014632,2025-01-03 10:00:00,637.39,APP-0002,CUST-00065,Apparel,South,platform_fulfilled,Standard,paid,True,1736762400000000000,True,False
ORD-0020907,2025-01-03 10:00:00,676.5,BEA-0050,CUST-01728,Beauty,East,third_party_fulfilled,Standard,cod,False,,False,False
ORD-0002554,2025-01-03 11:00:00,181.04,BOO-0001,CUST-01151,Books,West,platform_fulfilled,Standard,paid,False,,False,False
ORD-0021531,2025-01-03 11:00:00,587.66,BOO-0001,CUST-00088,Books,East,platform_fulfilled,Expedited,paid,False,,False,False
ORD-0000062,2025-01-03 11:00:00,6692.01,ELE-0128,CUST-01988,Electronics,North,merchant_fulfilled,Expedited,paid,False,,False,False
ORD-0010869,2025-01-03 12:00:00,737.22,BEA-0003,CUST-00316,Beauty,North,platform_fulfilled,Standard,paid,False,,False,False
ORD-0002949,2025-01-03 13:00:00,139.64,BOO-0001,CUST-01077,Books,North,platform_fulfilled,Standard,cod,False,,False,False
ORD-0005631,2025-01-03 14:00:00,2993.53,ELE-0001,CUST-00027,Electronics,Central,platform_fulfilled,Expedited,paid,False,,False,False
ORD-0010266,2025-01-03 15:00:00,5561.04,ELE-0007,CUST-01092,Electronics,South,merchant_fulfilled,Economy,paid,False,,False,False
ORD-0003303,2025-01-03 16:00:00,1637.86,APP-0005,CUST-01771,Apparel,South,merchant_fulfilled,Expedited,cod,False,,False,False
ORD-0011574,2025-01-03 16:00:00,2042.53,SPO-0001,CUST-01310,Sports,South,platform_fulfilled,Standard,paid,False,,False,False
ORD-0008278,2025-01-03 16:00:00,256.55,BEA-0001,CUST-01634,Beauty,South,merchant_fulfilled,Standard,paid,False,,False,False
ORD-0012139,2025-01-03 16:00:00,1394.78,SPO-0001,CUST-00677,Sports,North,third_party_fulfilled,Standard,paid,False,,False,False
ORD-0005567,2025-01-03 16:00:00,1095.63,HOM-0002,CUST-00564,Home,South,merchant_fulfilled,Economy,paid,False,,False,False
ORD-0003086,2025-01-03 17:00:00,1897.58,ELE-0001,CUST-00353,Electronics,South,merchant_fulfilled,Expedited,paid,False,,False,False
ORD-0005933,2025-01-03 17:00:00,5011.28,ELE-0001,CUST-00528,Electronics,East,third_party_fulfilled,Economy,paid,True,1737565200000000000,False,False
ORD-0021258,2025-01-03 17:00:00,278.64,BOO-0001,CUST-00908,Books,Central,merchant_fulfilled,Economy,paid,False,,False,False
ORD-0023303,2025-01-03 17:00:00,740.1,APP-0003,CUST-00383,Apparel,North,merchant_fulfilled,Standard,paid,False,,False,False
ORD-0022213,2025-01-03 17:00:00,817.47,APP-0001,CUST-01790,Apparel,West,platform_fulfilled,Standard,paid,False,,False,False
ORD-0000187,2025-01-03 17:00:00,1470.47,ELE-0001,CUST-01348,Electronics,West,third_party_fulfilled,Standard,paid,False,,False,False
ORD-0015253,2025-01-03 18:00:00,538.08,SPO-0001,CUST-00996,Sports,East,third_party_fulfilled,Standard,cod,True,1737655200000000000,False,False
ORD-0013102,2025-01-03 18:00:00,1322.76,APP-0011,CUST-00012,Apparel,North,merchant_fulfilled,Standard,paid,True,1737482400000000000,True,False
