Order ID,Date,Status,Fulfilment,ship-service-level,Category,Amount,ship-state,SKU
ORD-0020391,01-28-25,Shipped,platform_fulfilled,Expedited,Home,412.28,North,HOM-0003
ORD-0012697,10-28-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Beauty,544.68,East,BEA-0001
ORD-0003372,02-01-25,Shipped - Returned to seller,platform_fulfilled,Standard,Apparel,1588.9,West,APP-0001
ORD-0019482,12-19-25,Shipped - Rejected by Buyer,platform_fulfilled,Standard,Apparel,720.79,East,APP-0001
ORD-0010089,12-25-25,Shipped,platform_fulfilled,Standard,Apparel,494.52,North,APP-0001
ORD-0004552,11-16-25,Shipped - Delivered to Buyer,platform_fulfilled,Economy,Beauty,349.44,North,BEA-0001
ORD-0014392,08-05-25,Shipped - Delivered to Buyer,platform_fulfilled,Economy,Electronics,1595.29,East,ELE-0005
ORD-0012890,03-23-25,Shipped,merchant_fulfilled,Standard,Electronics,1313.15,East,ELE-0001
ORD-0005143,02-05-25,Shipped,merchant_fulfilled,Standard,Electronics,2448.26,East,ELE-0005
ORD-0000612,08-26-25,Shipped,merchant_fulfilled,Standard,Home,921.52,North,HOM-0002
ORD-0012504,03-29-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Sports,1021.63,North,SPO-0005
ORD-0015269,06-16-25,Shipped - Rejected by Buyer,platform_fulfilled,Economy,Apparel,1416.5,North,APP-0001
ORD-0008276,12-20-25,Shipped,platform_fulfilled,Standard,Electronics,1925.43,Central,ELE-0001
ORD-0016965,05-17-25,Shipped,platform_fulfilled,Economy,Home,507.94,North,HOM-0001
ORD-0000995,06-06-25,Shipped,platform_fulfilled,Expedited,Books,311.12,North,BOO-0002
ORD-0022836,01-02-25,Shipped,platform_fulfilled,Standard,Apparel,1365.25,South,APP-0001
ORD-0008482,11-11-25,Shipped,merchant_fulfilled,Economy,Apparel,915.79,South,APP-0002
ORD-0002013,03-15-25,Shipped - Returned to seller,third_party_fulfilled,Standard,Apparel,665.17,East,APP-0005
ORD-0017288,11-22-25,Shipped,platform_fulfilled,Standard,Home,734.0,West,HOM-0006
ORD-0008913,04-29-25,Shipped - Delivered to Buyer,third_party_fulfilled,Economy,Home,1059.6,North,HOM-0002
ORD-0003759,12-04-25,Shipped - Delivered to Buyer,merchant_fulfilled,Expedited,Books,250.32,North,BOO-0008
ORD-0007197,09-12-25,Shipped,merchant_fulfilled,Standard,Apparel,1321.12,West,APP-0006
ORD-0012849,08-08-25,Shipped,third_party_fulfilled,Expedited,Apparel,1427.57,East,APP-0005
ORD-0005663,04-16-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Home,1587.71,East,HOM-0001
ORD-0010238,04-17-25,Shipped,platform_fulfilled,Expedited,Apparel,634.37,North,APP-0001
ORD-0009964,03-07-25,Shipped - Delivered to Buyer,merchant_fulfilled,Economy,Books,390.63,West,BOO-0002
ORD-0006245,03-10-25,Shipped - Returned to seller,third_party_fulfilled,Economy,Apparel,680.61,West,APP-0001
ORD-0008821,10-01-25,Shipped - Delivered to Buyer,merchant_fulfilled,Standard,Electronics,2415.43,North,ELE-0001
ORD-0008834,10-23-25,Shipped - Delivered to Buyer,merchant_fulfilled,Economy,Home,1205.87,South,HOM-0003
ORD-0004863,05-29-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Apparel,559.56,South,APP-0001
ORD-0014914,01-09-25,Shipped,third_party_fulfilled,Economy,Electronics,3924.18,North,ELE-0001
ORD-0010039,04-17-25,Shipped,platform_fulfilled,Standard,Home,1444.53,Central,HOM-0001
ORD-0008485,05-06-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Beauty,1708.06,South,BEA-0032
ORD-0020047,12-13-25,Shipped,platform_fulfilled,Standard,Sports,900.64,East,SPO-0002
ORD-0015157,12-27-25,Shipped,merchant_fulfilled,Standard,Electronics,1690.37,West,ELE-0001
ORD-0020837,02-26-25,Shipped,platform_fulfilled,Standard,Beauty,188.35,Central,BEA-0001
ORD-0003719,01-19-25,Shipped - Delivered to Buyer,platform_fulfilled,Economy,Books,418.98,North,BOO-0001
ORD-0018355,01-02-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Electronics,3838.37,East,ELE-0007
ORD-0020689,01-04-25,Shipped,platform_fulfilled,Standard,Home,525.89,South,HOM-0002
ORD-0007999,11-26-25,Shipped,platform_fulfilled,Standard,Apparel,1229.33,West,APP-0043
ORD-0023381,11-12-25,Shipped - Delivered to Buyer,merchant_fulfilled,Standard,Home,1335.64,West,HOM-0001
ORD-0000616,07-09-25,Shipped,platform_fulfilled,Expedited,Beauty,950.92,South,BEA-0003
ORD-0016704,06-02-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Home,1057.73,East,HOM-0001
ORD-0011727,02-15-25,Shipped - Delivered to Buyer,merchant_fulfilled,Economy,Electronics,1951.72,South,ELE-0001
ORD-0015235,04-12-25,Shipped - Returned to seller,platform_fulfilled,Standard,Apparel,666.64,North,APP-0001
ORD-0008663,12-01-25,Shipped - Delivered to Buyer,third_party_fulfilled,Standard,Books,116.84,North,BOO-0005
ORD-0008437,05-04-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Electronics,1962.83,South,ELE-0001
ORD-0018939,05-31-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Apparel,419.71,North,APP-0008
ORD-0004548,11-12-25,Shipped - Delivered to Buyer,merchant_fulfilled,Standard,Apparel,503.32,North,APP-0001
ORD-0022387,08-29-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Home,921.7,East,HOM-0002
ORD-0009217,09-28-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Books,134.13,Central,BOO-0007
ORD-0013407,08-06-25,Shipped,platform_fulfilled,Expedited,Apparel,310.21,North,APP-0003
ORD-0022406,09-25-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Beauty,329.06,South,BEA-0001
ORD-0017392,02-19-25,Shipped - Delivered to Buyer,platform_fulfilled,Expedited,Electronics,1389.43,West,ELE-0002
ORD-0014341,04-16-25,Shipped - Delivered to Buyer,platform_fulfilled,Expedited,Home,563.65,East,HOM-0002
ORD-0003476,12-13-25,Shipped - Delivered to Buyer,merchant_fulfilled,Standard,Electronics,2424.8,West,ELE-0064
ORD-0019126,02-19-25,Shipped,platform_fulfilled,Economy,Sports,1545.15,Central,SPO-0009
ORD-0016242,07-04-25,Shipped,merchant_fulfilled,Expedited,Sports,1806.03,North,SPO-0030
ORD-0007073,03-23-25,Shipped,platform_fulfilled,Standard,Electronics,2008.4,North,ELE-0001
ORD-0000900,02-12-25,Shipped,merchant_fulfilled,Expedited,Home,786.18,East,HOM-0001
ORD-0011947,08-22-25,Shipped - Returned to seller,platform_fulfilled,Expedited,Apparel,681.03,West,APP-0001
ORD-0011843,09-26-25,Shipped - Returned to seller,third_party_fulfilled,Economy,Home,933.51,North,HOM-0002
ORD-0019376,04-13-25,Shipped,third_party_fulfilled,Economy,Electronics,905.55,Central,ELE-0001
ORD-0017195,04-25-25,Shipped,merchant_fulfilled,Standard,Apparel,559.92,South,APP-0001
ORD-0006812,11-13-25,Shipped - Delivered to Buyer,merchant_fulfilled,Economy,Apparel,350.1,North,APP-0002
ORD-0020214,07-11-25,Shipped - Delivered to Buyer,platform_fulfilled,Economy,Sports,727.02,East,SPO-0001
ORD-0023251,03-27-25,Shipped,third_party_fulfilled,Standard,Electronics,3754.67,Central,ELE-0001
ORD-0012198,04-02-25,Shipped,third_party_fulfilled,Standard,Apparel,3795.57,North,APP-0006
ORD-0020508,02-17-25,Shipped,platform_fulfilled,Standard,Electronics,2366.35,North,ELE-0016
ORD-0014058,07-18-25,Shipped,platform_fulfilled,Economy,Electronics,4093.98,West,ELE-0005
ORD-0006866,07-30-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Electronics,1356.52,South,ELE-0001
ORD-0005627,01-24-25,Shipped - Returned to seller,merchant_fulfilled,Expedited,Beauty,783.0,East,BEA-0002
ORD-0003027,08-13-25,Shipped,merchant_fulfilled,Standard,Apparel,389.08,Central,APP-0002
ORD-0009911,05-10-25,Shipped - Rejected by Buyer,platform_fulfilled,Expedited,Apparel,1233.1,East,APP-0003
ORD-0020369,02-21-25,Shipped - Returned to seller,third_party_fulfilled,Standard,Books,230.98,North,BOO-0001
ORD-0016494,05-27-25,Shipped - Delivered to Buyer,merchant_fulfilled,Economy,Home,924.92,East,HOM-0001
ORD-0011218,08-24-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Electronics,2353.31,East,ELE-0001
ORD-0004673,06-11-25,Shipped - Returned to seller,platform_fulfilled,Standard,Apparel,1338.95,Central,APP-0001
ORD-0006432,10-15-25,Shipped - Returned to seller,merchant_fulfilled,Economy,Electronics,1332.63,North,ELE-0001
ORD-0019480,04-10-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Electronics,1058.39,West,ELE-0001
ORD-0018723,01-29-25,Shipped - Delivered to Buyer,platform_fulfilled,Expedited,Sports,880.3,Central,SPO-0001
ORD-0009666,07-22-25,Shipped - Delivered to Buyer,merchant_fulfilled,Standard,Beauty,198.29,North,BEA-0001
ORD-0010532,07-25-25,Shipped,platform_fulfilled,Economy,Apparel,845.34,North,APP-0011
ORD-0022267,10-05-25,Shipped,platform_fulfilled,Expedited,Beauty,337.7,South,BEA-0003
ORD-0003437,01-23-25,Shipped - Delivered to Buyer,platform_fulfilled,Economy,Electronics,1771.5,South,ELE-0001
ORD-0023033,05-09-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Apparel,394.9,West,APP-0002
ORD-0021471,09-22-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Electronics,1102.37,North,ELE-0001
ORD-0008799,02-26-25,Shipped - Rejected by Buyer,merchant_fulfilled,Economy,Apparel,1200.62,North,APP-0001
ORD-0002934,01-19-25,Shipped - Returned to seller,platform_fulfilled,Standard,Sports,2151.22,East,SPO-0003
ORD-0018336,04-21-25,Shipped,platform_fulfilled,Expedited,Electronics,1599.54,South,ELE-0005
ORD-0023214,10-12-25,Shipped,merchant_fulfilled,Expedited,Electronics,3493.6,Central,ELE-0004
ORD-0009462,04-18-25,Shipped,platform_fulfilled,Expedited,Apparel,320.73,North,APP-0001
ORD-0013465,09-03-25,Shipped - Delivered to Buyer,platform_fulfilled,Expedited,Home,837.91,Central,HOM-0002
ORD-0002526,03-08-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Apparel,895.18,South,APP-0001
ORD-0016916,12-07-25,Shipped,platform_fulfilled,Standard,Electronics,3362.07,East,ELE-0034
ORD-0016777,06-14-25,Shipped - Delivered to Buyer,platform_fulfilled,Expedited,Home,931.0,North,HOM-0001
ORD-0001953,01-16-25,Shipped,merchant_fulfilled,Standard,Beauty,672.9,East,BEA-0001
ORD-0007458,10-20-25,Shipped - Returned to seller,third_party_fulfilled,Standard,Beauty,511.69,East,BEA-0001
ORD-0013727,11-30-25,Shipped,platform_fulfilled,Economy,Electronics,1737.76,West,ELE-0001
ORD-0021468,05-28-25,Shipped,merchant_fulfilled,Standard,Sports,1143.27,South,SPO-0001
ORD-0019952,05-07-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Home,1373.36,North,HOM-0001
ORD-0019642,01-05-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Electronics,1214.34,North,ELE-0001
ORD-0021261,12-12-25,Shipped,merchant_fulfilled,Standard,Home,1134.26,North,HOM-0002
ORD-0010741,01-07-25,Shipped - Delivered to Buyer,third_party_fulfilled,Standard,Books,298.65,South,BOO-0001
ORD-0014933,03-04-25,Shipped - Delivered to Buyer,merchant_fulfilled,Standard,Sports,1055.27,Central,SPO-0056
ORD-0022381,07-26-25,Shipped,third_party_fulfilled,Standard,Electronics,1532.71,West,ELE-0029
ORD-0002652,09-10-25,Shipped,platform_fulfilled,Standard,Electronics,2257.57,East,ELE-0004
ORD-0012927,08-05-25,Shipped,platform_fulfilled,Standard,Home,2252.65,South,HOM-0001
ORD-0001926,10-04-25,Shipped,platform_fulfilled,Economy,Apparel,587.41,West,APP-0001
ORD-0000095,05-26-25,Shipped - Rejected by Buyer,platform_fulfilled,Economy,Electronics,6067.42,East,ELE-0001
ORD-0005043,11-05-25,Shipped - Delivered to Buyer,merchant_fulfilled,Economy,Electronics,3302.23,Central,ELE-0002
ORD-0020819,05-20-25,Shipped - Returned to seller,merchant_fulfilled,Standard,Home,1459.82,Central,HOM-0002
ORD-0008169,03-14-25,Shipped - Delivered to Buyer,merchant_fulfilled,Economy,Apparel,743.87,North,APP-0002
ORD-0000201,04-05-25,Shipped - Delivered to Buyer,third_party_fulfilled,Expedited,Beauty,490.59,Central,BEA-0002
ORD-0017231,07-30-25,Shipped - Delivered to Buyer,merchant_fulfilled,Standard,Apparel,1276.42,South,APP-0010
ORD-0005822,04-01-25,Shipped,platform_fulfilled,Standard,Sports,1335.63,South,SPO-0003
ORD-0013241,11-21-25,Shipped,platform_fulfilled,Standard,Apparel,199.12,South,APP-0001
ORD-0011306,02-04-25,Shipped,merchant_fulfilled,Economy,Home,978.93,East,HOM-0002
ORD-0012801,06-04-25,Shipped - Delivered to Buyer,third_party_fulfilled,Standard,Books,408.58,Central,BOO-0003
ORD-0010232,02-12-25,Shipped - Delivered to Buyer,merchant_fulfilled,Standard,Beauty,724.27,South,BEA-0001
ORD-0016039,09-29-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Home,286.08,West,HOM-0030
ORD-0002247,11-16-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Apparel,308.16,Central,APP-0013
ORD-0023894,01-27-25,Shipped - Delivered to Buyer,merchant_fulfilled,Standard,Electronics,1581.45,Central,ELE-0002
ORD-0013190,11-26-25,Shipped - Returned to seller,merchant_fulfilled,Standard,Beauty,443.19,South,BEA-0001
ORD-0012009,11-18-25,Shipped - Rejected by Buyer,platform_fulfilled,Standard,Beauty,512.06,East,BEA-0001
ORD-0017210,05-04-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Beauty,907.81,North,BEA-0001
ORD-0017926,06-16-25,Shipped,merchant_fulfilled,Standard,Electronics,1001.8,North,ELE-0002
ORD-0003517,05-10-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Home,1736.33,South,HOM-0001
ORD-0006783,10-05-25,Shipped - Delivered to Buyer,platform_fulfilled,Economy,Home,2197.76,East,HOM-0005
ORD-0002589,08-26-25,Shipped - Delivered to Buyer,platform_fulfilled,Expedited,Electronics,6879.55,West,ELE-0002
ORD-0017472,05-31-25,Shipped,platform_fulfilled,Standard,Apparel,674.98,South,APP-0001
ORD-0005870,06-11-25,Shipped - Delivered to Buyer,third_party_fulfilled,Economy,Apparel,540.62,West,APP-0001
ORD-0018597,06-13-25,Shipped,platform_fulfilled,Standard,Apparel,980.29,South,APP-0002
ORD-0003665,09-08-25,Shipped,platform_fulfilled,Standard,Apparel,449.51,Central,APP-0001
ORD-0016209,12-15-25,Shipped,platform_fulfilled,Expedited,Home,607.85,West,HOM-0001
ORD-0020199,05-31-25,Shipped - Returned to seller,third_party_fulfilled,Standard,Home,2343.85,South,HOM-0001
ORD-0001533,10-22-25,Shipped,platform_fulfilled,Standard,Home,1606.71,Central,HOM-0001
ORD-0004892,01-15-25,Shipped - Rejected by Buyer,platform_fulfilled,Expedited,Apparel,2058.08,Central,APP-0014
ORD-0010358,06-13-25,Shipped - Delivered to Buyer,third_party_fulfilled,Standard,Home,1539.2,Central,HOM-0001
ORD-0020408,09-15-25,Shipped,merchant_fulfilled,Standard,Beauty,392.89,South,BEA-0001
ORD-0019070,05-25-25,Shipped - Delivered to Buyer,merchant_fulfilled,Standard,Home,1070.12,East,HOM-0004
ORD-0011385,09-06-25,Shipped - Returned to seller,third_party_fulfilled,Standard,Electronics,3049.39,East,ELE-0002
ORD-0018208,04-16-25,Shipped,third_party_fulfilled,Expedited,Sports,1173.03,Central,SPO-0004
ORD-0013280,04-28-25,Shipped - Delivered to Buyer,platform_fulfilled,Economy,Home,1926.11,South,HOM-0001
ORD-0001081,10-19-25,Shipped - Delivered to Buyer,platform_fulfilled,Expedited,Apparel,485.27,East,APP-0001
ORD-0023152,02-22-25,Shipped,third_party_fulfilled,Standard,Books,221.8,East,BOO-0002
ORD-0014447,03-01-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Beauty,762.32,South,BEA-0004
ORD-0003754,04-17-25,Shipped - Delivered to Buyer,platform_fulfilled,Economy,Beauty,450.06,North,BEA-0140
ORD-0005397,07-24-25,Shipped - Delivered to Buyer,third_party_fulfilled,Standard,Electronics,4622.58,North,ELE-0003
ORD-0003329,07-20-25,Shipped - Delivered to Buyer,merchant_fulfilled,Expedited,Home,1276.34,South,HOM-0001
ORD-0005211,07-08-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Electronics,2590.9,North,ELE-0001
ORD-0016968,02-21-25,Shipped - Delivered to Buyer,platform_fulfilled,Economy,Electronics,1202.33,North,ELE-0002
ORD-0019271,09-30-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Apparel,543.57,East,APP-0021
ORD-0011407,01-03-25,Shipped - Delivered to Buyer,merchant_fulfilled,Standard,Home,373.49,South,HOM-0001
ORD-0018042,08-11-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Books,221.37,South,BOO-0004
ORD-0013291,03-20-25,Shipped,third_party_fulfilled,Expedited,Beauty,943.07,East,BEA-0003
ORD-0019151,04-05-25,Shipped - Returned to seller,third_party_fulfilled,Standard,Electronics,2869.85,South,ELE-0001
ORD-0011313,07-26-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Home,867.43,Central,HOM-0001
ORD-0018859,05-24-25,Shipped,platform_fulfilled,Standard,Apparel,514.27,South,APP-0003
ORD-0008125,06-02-25,Shipped - Delivered to Buyer,third_party_fulfilled,Standard,Books,201.45,South,BOO-0002
ORD-0022002,07-29-25,Shipped,merchant_fulfilled,Standard,Electronics,1609.38,East,ELE-0001
ORD-0010177,02-26-25,Shipped - Returned to seller,platform_fulfilled,Standard,Apparel,981.17,East,APP-0001
ORD-0008461,11-01-25,Shipped,third_party_fulfilled,Economy,Sports,1650.76,Central,SPO-0001
ORD-0009834,05-21-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Beauty,179.94,Central,BEA-0018
ORD-0018315,03-12-25,Shipped,third_party_fulfilled,Standard,Apparel,1599.15,East,APP-0001
ORD-0000351,10-16-25,Shipped - Returned to seller,merchant_fulfilled,Standard,Home,938.67,North,HOM-0001
ORD-0011808,08-04-25,Shipped,platform_fulfilled,Standard,Home,1276.3,Central,HOM-0004
ORD-0008820,12-13-25,Shipped - Delivered to Buyer,platform_fulfilled,Economy,Sports,841.82,West,SPO-0062
ORD-0023939,03-20-25,Shipped,merchant_fulfilled,Economy,Beauty,441.11,South,BEA-0003
ORD-0003955,07-21-25,Shipped - Rejected by Buyer,platform_fulfilled,Standard,Apparel,1348.18,West,APP-0055
ORD-0015630,03-16-25,Shipped - Returned to seller,merchant_fulfilled,Expedited,Electronics,6206.88,Central,ELE-0001
ORD-0001381,08-26-25,Shipped,third_party_fulfilled,Standard,Electronics,1068.25,North,ELE-0006
ORD-0014132,05-06-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Books,190.01,East,BOO-0057
ORD-0019123,03-14-25,Shipped,platform_fulfilled,Economy,Books,290.31,North,BOO-0001
ORD-0022164,03-04-25,Shipped - Returned to seller,platform_fulfilled,Standard,Beauty,827.84,North,BEA-0001
ORD-0015377,01-09-25,Shipped,platform_fulfilled,Standard,Books,666.7,East,BOO-0001
ORD-0019202,06-27-25,Shipped - Delivered to Buyer,platform_fulfilled,Expedited,Home,573.4,South,HOM-0001
ORD-0000200,08-20-25,Shipped,platform_fulfilled,Standard,Electronics,2148.34,South,ELE-0004
ORD-0000608,01-27-25,Shipped - Rejected by Buyer,platform_fulfilled,Standard,Apparel,2090.59,East,APP-0002
ORD-0016361,02-03-25,Shipped,platform_fulfilled,Standard,Apparel,1397.53,South,APP-0001
ORD-0004545,03-29-25,Shipped,platform_fulfilled,Standard,Electronics,7616.0,East,ELE-0005
ORD-0018686,12-31-25,Shipped - Rejected by Buyer,platform_fulfilled,Economy,Apparel,701.14,South,APP-0001
